eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,1561794,1561804,12,1002.1,1197.8,927.1,1209.6,0.6,65
L,1562624,1562640,18,918.5,1204.2,1088.0,1183.6,1.4,104
L,1563404,1563446,44,1126.1,1176.2,1841.5,1085.7,6.2,196
L,1564586,1564628,44,1884.2,1110.9,1277.9,1046.1,5.2,152
L,1565014,1565050,38,1168.6,1071.6,1759.8,1052.1,5.0,175
L,1565630,1565666,38,1856.4,1095.2,1183.0,1087.0,5.7,209
L,1565856,1565870,16,1062.5,1140.9,918.8,1170.1,1.2,101
L,1566156,1566306,152,920.1,1197.4,1042.9,1372.3,2.3,1211
L,1566946,1566962,18,938.6,1225.8,1099.3,1211.7,1.4,100
L,1568186,1568228,44,1103.4,1191.6,1846.7,1097.4,6.4,195
L,1569834,1569882,50,1900.8,1136.7,1154.1,1097.1,6.4,164
L,1570862,1570956,96,1005.6,1209.2,858.5,1397.0,2.5,563
L,1571914,1571954,42,903.3,1182.4,1697.2,1063.9,6.8,224
L,1572292,1572302,12,1833.0,1098.4,1893.4,1126.8,0.6,63
L,1573930,1573968,40,1893.3,1143.7,1249.8,1062.4,5.6,180
L,1574202,1574214,14,1116.8,1115.3,1034.0,1156.2,0.8,76
L,1574360,1574436,78,1012.5,1205.2,769.4,1352.3,2.6,747
L,1575502,1575548,48,867.0,1199.3,1770.3,1101.3,7.7,221
L,1575924,1575940,18,1875.0,1136.9,1781.8,1035.4,1.4,105
L,1576074,1576094,22,1818.9,1029.9,2024.9,1056.9,1.8,105
L,1576252,1576288,38,2138.6,1060.9,1862.7,639.0,5.5,187
L,1576530,1576570,42,1845.0,558.9,1704.8,978.7,5.1,158
L,1576652,1576810,160,1713.3,1066.0,1683.1,1189.1,1.5,687
L,1576882,1579128,2248,1703.4,1113.5,1753.4,1027.6,1.1,842
L,1579374,1579394,22,1736.7,1006.5,1981.7,1053.8,2.2,131
L,1579746,1579774,30,2105.6,1087.4,1742.0,1091.8,3.1,134
L,1579964,1579988,26,1659.3,1097.0,2008.2,1187.3,3.2,161
L,1580210,1580232,24,2079.3,1242.5,1781.2,1121.9,2.9,170
L,1580500,1644366,63868,1724.5,1161.0,1889.7,1109.7,1.5,1379
L,1644572,1644592,22,1900.2,1113.1,2088.3,1122.7,1.6,91
L,1644896,1644910,16,2153.2,1171.6,2058.8,1189.0,0.8,65
L,1645072,1646038,968,1981.4,1227.1,1822.1,1083.9,2.2,1483
L,1646356,1646372,18,1802.2,1043.1,1906.0,1131.0,1.4,99
L,1648134,1648172,40,1876.2,1119.7,1236.1,1050.1,5.5,184
L,1648604,1648618,16,1044.0,1112.0,913.9,1164.3,1.2,99
L,1649924,1649972,50,930.5,1208.5,1893.9,1145.9,8.2,213
L,1650200,1650210,12,1994.3,1189.7,1933.7,1173.2,0.6,57
L,1652246,1652290,46,1927.4,1135.6,2408.1,1284.3,4.5,140
L,1652400,1652422,24,2508.1,1306.4,2875.7,1370.4,3.3,194
L,1653598,1653642,46,2959.9,1345.0,2030.7,1198.0,8.2,289
L,1655234,1655266,34,1902.3,1132.9,1397.8,1059.2,4.4,171
L,1655760,1655776,18,1255.6,1090.1,1099.8,1131.3,1.4,101
L,1655994,1656004,12,1041.9,1157.6,972.0,1172.6,0.6,62
L,1656294,1656306,14,972.9,1185.2,1070.1,1182.9,0.8,72
L,1657110,1657150,42,1125.0,1168.7,1809.4,1098.8,5.9,184
L,1659212,1659254,44,1862.3,1123.0,1146.8,1110.9,6.1,174
L,1659472,1659482,12,1004.2,1163.1,937.9,1183.0,0.6,63
L,1660744,1660754,12,907.4,1185.0,828.6,1204.9,0.7,70
L,1661314,1661366,54,749.5,1224.6,1773.6,1123.9,8.7,212
L,1663098,1663144,48,1881.7,1119.9,1127.7,1159.2,6.4,177
L,1663510,1663522,14,1003.7,1188.9,1024.5,1121.6,0.8,72
L,1664714,1664732,20,1038.2,1195.8,1072.9,1024.7,2.0,140
L,1664972,1665014,44,1101.7,1003.1,1876.2,1115.3,6.7,200
L,1667416,1667440,26,1973.9,1175.9,2168.0,1300.1,2.2,113
L,1667618,1667652,36,2277.5,1367.3,2811.2,1439.2,4.7,165
L,1667824,1667840,18,2904.2,1431.6,2757.0,1463.6,1.3,97
L,1668712,1668754,44,2710.8,1468.0,2034.6,1220.7,6.5,212
L,1670926,1670974,50,1903.7,1148.5,2539.8,1403.8,6.2,171
L,1671036,1671048,14,2729.3,1468.1,2855.2,1455.7,1.1,98
L,1672882,1672900,20,2895.5,1399.9,2937.3,1291.3,1.3,87
L,1673426,1673438,14,2923.5,1236.0,2921.1,1176.9,0.7,62
L,1674192,1674234,44,2916.8,1116.8,1972.8,1129.0,8.1,305
L,1676066,1676106,42,1867.2,1108.1,1183.9,1047.2,5.8,179
L,1676490,1676670,182,1086.5,1091.1,1042.0,1263.6,2.0,1711
L,1676930,1677184,256,1000.0,1120.1,1114.8,1172.3,1.1,972
L,1678558,1678596,40,1057.5,1120.0,1758.0,1081.9,5.9,204
L,1680266,1680310,46,1883.0,1127.6,1211.5,1074.3,5.7,176
L,1681064,1681240,178,1117.1,1201.5,1127.8,1311.3,1.3,1462
L,1681416,1681434,20,1069.9,1213.7,880.1,1237.0,1.6,103
L,1682366,1682382,18,884.3,1216.2,729.8,1246.1,1.3,96
