eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
L,3844986,3845062,80,3270.0,1018.9,295
L,3845090,3845978,892,2970.4,1002.7,353
L,3846030,3847822,1796,1948.7,1069.8,303
L,3847862,3848018,160,1478.3,1287.5,311
L,3848070,3848654,588,1140.1,1917.7,346
L,3848706,3849018,316,1137.9,1280.7,347
L,3849038,3849358,324,993.4,1369.8,271
L,3849374,3850022,652,951.6,1301.4,271
L,3850042,3850126,88,1143.5,1260.6,276
L,3850178,3851614,1440,1915.3,1066.0,333
L,3851714,3852074,364,1099.5,1935.9,358
L,3852130,3852982,856,1167.7,1251.6,355
L,3853006,3853350,348,1317.6,1198.9,253
L,3853398,3853590,196,1867.2,1071.6,250
L,3853714,3854934,1224,1899.6,1065.8,309
L,3855018,3855406,392,1106.5,1933.8,337
L,3855450,3856202,756,1146.5,1363.8,348
L,3856346,3856626,284,1307.5,1230.3,243
L,3856770,3856962,196,1132.0,1216.6,264
L,3857122,3857526,408,1255.2,1232.5,278
L,3857662,3858606,948,1281.1,1211.9,261
L,3858638,3859378,744,981.7,1259.4,283
L,3859394,3859726,336,1147.0,1217.3,328
L,3859854,3860058,208,1143.8,1227.8,334
L,3860110,3861326,1220,1927.1,1064.0,316
L,3861402,3861442,44,2833.7,956.6,332
L,3861478,3862022,548,3270.0,995.8,344
L,3862050,3862226,180,3101.9,946.4,376
L,3862246,3862546,304,2895.0,928.7,364
L,3862574,3863034,464,2978.5,1151.9,255
L,3863154,3864342,1192,2927.7,1025.6,281
L,3864406,3864638,236,2004.7,1120.4,327
L,3864654,3865686,1036,1901.0,1087.7,358
L,3865758,3866274,520,2970.8,965.0,359
L,3866294,3866426,136,2886.8,1014.6,375
L,3866482,3866742,264,3270.0,1002.5,366
L,3866774,3867274,504,2947.5,996.4,311
L,3867294,3868538,1248,2950.4,1070.2,256
L,3868562,3868722,164,2651.9,1073.7,304
L,3868746,3869710,968,2914.6,1079.8,339
L,3869734,3869870,140,2970.4,1221.3,375
L,3869962,3871310,1352,1930.1,1048.0,355
L,3871394,3871742,352,1139.2,2058.0,396
L,3871778,3871886,112,1097.3,1713.9,402
L,3871910,3872042,136,1104.8,1534.6,405
L,3872066,3873406,1344,1102.5,1366.6,301
L,3873430,3873934,508,1265.8,1220.5,283
L,3873966,3874146,184,1641.4,1064.1,287
L,3874166,3874318,156,1823.1,949.3,270
L,3874414,3874430,20,1942.6,895.4,214
L,3874458,3874602,148,1513.2,669.0,223
L,3874650,3874726,80,1184.2,154.0,210
L,3874750,3874774,28,1320.0,377.5,207
L,3874806,3875082,280,1497.3,987.1,206
L,3875110,3875242,136,1880.6,1148.0,224
L,3875386,3875514,132,2443.6,1116.5,227
L,3875890,3876214,328,2202.2,1627.8,245
L,3876410,3877214,808,1939.0,1155.7,288
L,3877242,3877402,164,1806.3,1326.1,299
L,3877418,3878134,720,1744.7,1222.6,306
L,3878162,3878446,288,2026.5,1208.8,313
L,3878474,3879382,912,1652.6,1247.7,368
L,3879410,3879958,552,1932.5,1209.5,387
L,3879974,3881214,1244,1889.4,1123.0,385
L,3881266,3881426,164,2532.9,1512.6,412
L,3881458,3881758,304,2890.6,1787.9,429
L,3881782,3881910,132,2843.2,1659.7,438
L,3881934,3882178,248,2735.6,1398.7,439
L,3882202,3883430,1232,2859.5,1170.9,347
L,3883450,3883862,416,3053.0,1122.1,353
L,3883922,3885338,1420,1904.8,1108.9,387
L,3885402,3885498,100,2703.2,1371.8,396
L,3885546,3885890,348,3270.0,1179.9,394
L,3885910,3886274,368,3270.0,1141.8,384
L,3886302,3886586,288,3022.9,1047.4,396
L,3886606,3887410,808,2916.3,979.9,278
L,3887430,3887710,284,2966.8,1079.6,297
L,3887742,3887762,24,3013.6,1557.7,114
L,3887786,3888818,1036,2964.8,1133.6,306
L,3888878,3890226,1352,1931.4,1094.8,356
L,3890286,3890750,468,1103.6,1261.6,394
L,3891190,3891470,284,1148.1,1193.4,393
L,3891490,3891746,260,1167.8,1082.1,306
L,3891770,3892934,1168,1189.1,1236.4,280
L,3893094,3893206,116,1361.4,1168.3,266
L,3893226,3893462,240,1216.2,1216.6,286
L,3893526,3893698,176,1977.3,1142.8,280
L,3893714,3894958,1248,1926.4,1122.2,322
L,3894986,3895106,124,1286.4,1148.1,367
L,3895518,3895730,216,410.9,1165.8,391
L,3895778,3896922,1148,1157.3,1098.3,303
L,3896974,3898354,1384,1893.7,1106.5,346
L,3898446,3898618,176,1039.4,1994.1,390
L,3898638,3898938,304,1182.0,1992.8,394
L,3898994,3899134,144,1149.6,1428.4,413
L,3899150,3899674,528,1159.7,1345.3,396
L,3899694,3899958,268,1291.4,1324.8,297
L,3899978,3900906,932,1245.9,1295.9,332
L,3900966,3902218,1256,1893.4,1107.8,389
L,3902294,3902470,180,2652.7,1434.2,405
L,3902498,3902742,248,2833.3,1764.7,414
L,3902794,3903166,376,2652.0,1170.2,417
L,3903186,3903294,112,2829.8,1184.1,415
L,3903318,3903718,404,2667.9,1118.7,338
L,3903742,3904614,876,2809.5,1227.4,303
L,3904674,3904834,164,2092.4,1216.1,347
L,3904854,3906134,1284,1941.0,1144.5,370
L,3906186,3906334,152,2615.4,1589.0,365
L,3906362,3906522,164,2900.2,1784.0,379
L,3906546,3906730,188,3068.3,1846.0,386
L,3906758,3906870,116,2978.1,1512.8,393
L,3906894,3907222,332,2961.9,1320.3,392
L,3907242,3907470,232,2900.5,1236.3,369
L,3907490,3907726,240,3126.7,1236.5,274
L,3907782,3907970,192,3038.9,1865.7,250
L,3908018,3908378,364,2881.4,1339.7,275
L,3908402,3908822,424,3105.6,1225.2,296
L,3908974,3909258,288,3055.4,1764.2,291
L,3909306,3909554,252,3097.9,1225.8,306
L,3909578,3910458,884,2890.6,1187.7,287
L,3910478,3911854,1380,3089.3,1184.9,331
L,3911934,3912238,308,1948.8,1108.0,356
L,3912254,3913254,1004,1887.2,1098.8,367
L,3913294,3913474,184,1369.0,1520.5,358
L,3913502,3913886,388,1238.9,1857.0,371
L,3913922,3914018,100,1150.0,1611.6,390
L,3914042,3914258,220,1175.3,1451.5,403
L,3914274,3914562,292,1134.5,1390.5,372
L,3914586,3914894,312,1307.4,1322.1,282
L,3914958,3915358,404,1252.6,2034.7,254
L,3915410,3918302,2896,1293.5,1262.5,326
L,3918342,3919298,960,1938.7,1078.7,371
L,3919338,3919622,288,2525.6,1084.3,409
L,3919666,3919698,36,2856.2,1443.4,406
L,3919726,3919898,176,3018.8,1692.9,414
L,3919922,3920106,188,2949.3,1838.9,427
L,3920150,3920218,72,2852.7,1328.4,429
L,3920238,3920574,340,2935.9,1202.8,423
L,3920590,3920770,184,2867.0,1176.5,407
L,3920786,3921206,424,2887.2,1110.1,294
L,3921234,3921954,724,3270.0,1137.2,248
L,3921982,3922282,304,2923.2,1137.7,256
L,3922334,3922586,256,1998.1,1121.9,266
L,3922602,3923466,868,1899.2,1097.2,321
L,3923514,3923642,132,2606.7,1065.4,344
L,3923690,3923926,240,2831.5,1644.3,368
L,3923950,3924174,228,2857.7,1788.8,387
L,3924198,3924374,180,2716.6,1625.6,403
L,3924402,3925446,1048,2711.8,1192.3,323
L,3925466,3926522,1060,2853.6,1189.1,253
L,3926542,3927010,472,2697.3,1145.0,293
L,3927062,3927114,56,2602.4,1828.0,306
L,3927138,3927322,188,2787.5,1963.5,321
L,3927386,3927578,196,2163.7,1203.5,348
L,3927602,3928794,1196,1972.9,1135.7,367
L,3928862,3928954,96,1255.5,1614.5,380
L,3928978,3929270,296,1163.4,1863.1,372
L,3929298,3929750,456,984.7,2052.1,392
L,3929806,3930306,504,1032.8,1358.9,342
L,3930354,3930414,64,916.4,2081.9,192
L,3930430,3930654,228,989.2,2189.9,215
L,3930698,3930802,108,1148.6,1658.3,229
L,3930826,3931022,200,1096.0,1426.4,259
L,3931042,3931414,376,954.9,1345.2,270
L,3931442,3931926,488,1293.9,1247.6,250
L,3931950,3933310,1364,1869.6,1120.8,298
L,3933334,3933550,220,2073.2,1162.9,336
L,3933606,3933786,184,2628.8,1688.0,364
L,3933814,3934078,268,2813.9,1848.5,383
L,3934142,3934438,300,2856.0,1197.6,379
L,3934462,3934602,144,2714.1,1163.9,325
L,3934618,3935110,496,2854.8,1177.2,243
L,3935130,3935362,236,3045.8,1195.0,229
L,3935474,3936574,1104,2869.9,1190.4,264
L,3936598,3937206,612,3073.4,1208.1,270
L,3937230,3937270,44,2634.1,1178.6,282
L,3937290,3938494,1208,1899.6,1096.6,315
L,3938586,3938942,360,1145.2,2019.0,347
L,3938994,3939754,764,1196.4,1310.8,378
L,3939866,3940338,476,1102.6,1319.5,285
L,3940362,3940830,472,1318.6,1284.9,313
L,3940870,3942350,1484,1903.2,1119.9,362
L,3942402,3942514,116,2631.6,1406.0,376
L,3942558,3942694,140,3188.1,1253.1,368
L,3942722,3943202,484,3270.0,1101.1,349
L,3943258,3943434,180,2700.8,1059.9,374
L,3943454,3943754,304,2882.3,1054.7,312
L,3943770,3944674,908,2947.2,1078.6,260
L,3944742,3944798,60,2210.3,1405.2,305
L,3944822,3945070,252,1931.3,1281.4,313
L,3945086,3947854,2772,1870.9,1188.2,328
L,3947878,3948502,628,2109.6,1184.4,303
L,3948566,3948850,288,2973.3,1237.5,334
L,3948874,3949642,772,2995.9,1100.3,229
L,3949746,3950054,312,2957.5,1084.8,211
L,3950182,3951522,1344,2916.6,967.7,237
L,3951586,3952886,1304,1936.7,1128.8,316
L,3952914,3953010,100,1422.6,1142.0,347
L,3953642,3953774,136,774.0,1275.6,353
L,3953802,3954150,352,1162.8,1312.5,358
L,3954166,3955338,1176,1165.8,1283.6,249
L,3955358,3955442,88,1355.2,1237.0,253
L,3955502,3956830,1332,1923.6,1111.2,271
L,3956910,3957290,384,1114.3,2020.2,298
L,3957326,3957426,104,1022.9,1626.2,327
L,3957454,3957710,260,1073.3,1397.5,348
L,3957726,3957978,256,969.5,1378.6,355
L,3957998,3958142,148,1059.5,1325.5,281
L,3958158,3958738,584,967.0,1303.1,228
L,3958758,3959042,288,1149.3,1271.5,237
L,3959062,3960198,1140,1885.4,1124.2,257
L,3960250,3960514,268,1172.0,1334.2,315
L,3960558,3960858,304,1111.3,1863.7,325
L,3960894,3960982,92,1183.6,1398.4,338
L,3961002,3961950,952,1159.2,1274.7,328
L,3961970,3962466,500,1305.1,1245.9,227
L,3962510,3962710,204,1869.3,1116.1,221
L,3962830,3963922,1096,1880.4,1099.7,269
L,3963946,3964290,348,1117.4,1301.5,303
L,3964354,3964402,52,204.7,1193.6,310
L,3964894,3965146,256,1137.1,1288.6,342
L,3965174,3966102,932,1168.9,1068.2,223
L,3966118,3968142,2028,1746.9,1129.1,240
L,3968282,3968418,140,61.8,1073.1,306
L,3968486,3968674,192,135.0,1028.4,321
L,3968698,3968718,24,-72.3,722.9,324
L,3968802,3969002,204,1125.5,1333.0,352
L,3969022,3969174,156,1179.4,1420.5,335
L,3969202,3969562,364,1175.3,1081.0,265
L,3969606,3969790,188,1203.9,1456.6,233
L,3969878,3970434,560,1169.2,1401.9,236
L,3970458,3971926,1472,1190.8,1202.2,268
L,3971974,3972594,624,1883.4,1103.1,308
L,3972622,3972786,168,1634.6,1049.1,281
L,3972830,3972962,136,1568.2,578.8,226
L,3973190,3973398,212,1711.3,1065.6,189
L,3973586,3973714,132,2039.3,994.6,198
L,3973870,3974054,188,2135.8,1162.8,248
L,3974198,3974322,128,1956.6,1269.5,257
L,3974342,3974386,48,2040.0,1203.7,237
L,3977042,3977254,216,2101.1,3270.0,260
L,3977374,3977558,188,1963.2,1042.9,338
L,3977586,3977706,124,1609.8,1014.7,372
L,3977762,3977950,192,1471.2,23.0,309
L,3977978,3978190,216,1524.5,397.2,283
L,3978242,3978562,324,1498.8,1068.3,316
L,3978614,3978934,324,1402.5,70.1,342
L,3978994,3979450,460,1596.7,1160.6,372
L,3979478,3980546,1072,1921.4,1063.7,385
L,3980578,3980818,244,1354.9,1201.3,433
L,3980846,3981126,284,918.5,1333.5,425
L,3981362,3981714,356,1073.9,1344.9,436
L,3981738,3981926,192,1211.8,1224.0,448
L,3981950,3982342,396,1199.0,1026.3,346
L,3982378,3982490,116,1135.3,1423.8,284
L,3982518,3982974,460,1216.4,1049.3,268
L,3983018,3983498,484,1854.1,1020.0,251
L,3983514,3983638,128,1783.3,1050.6,263
L,3983654,3984486,836,1918.3,1064.6,314
L,3984542,3984726,188,1132.6,1274.8,358
L,3984754,3984930,180,794.7,1328.4,357
L,3984970,3985178,212,1165.0,1546.7,372
L,3985206,3985394,192,1231.5,1838.1,388
L,3985442,3986250,812,1151.1,1231.5,362
L,3986274,3986770,500,1315.7,1210.5,280
L,3986818,3988070,1256,1910.4,1057.7,279
L,3988122,3988314,196,1131.2,1401.6,323
L,3988382,3988662,284,-196.2,1029.3,320
L,3988706,3988954,252,942.7,1119.6,347
L,3988974,3989418,448,1151.5,1086.2,373
L,3989442,3989586,148,1212.7,1227.2,319
L,3989614,3990062,452,1187.4,1044.9,278
L,3990090,3990978,892,1215.1,1293.0,316
L,3991030,3991454,428,1950.3,1019.7,365
L,3991478,3991538,64,1614.3,1073.2,396
L,3991558,3991674,120,1383.6,1127.0,403
L,3991694,3992078,388,1266.5,1187.5,413
L,3992094,3992422,332,1386.6,1193.1,419
L,3992450,3992634,188,1795.5,1081.9,416
L,3992654,3994074,1424,1946.8,1049.2,318
