eye,tStart,tEnd,duration
R,3474777,3474945,172
R,3475025,3475369,348
R,3475461,3475537,80
R,3475901,3475933,36
R,3476225,3476849,628
R,3479077,3479093,20
R,3480813,3480953,144
R,3490997,3491045,52
R,3494257,3494481,228
R,3507489,3507553,68
R,3521337,3521421,88
R,3532909,3532917,12
R,3537557,3537733,180
R,3538513,3538605,96
R,3547613,3547645,36
R,3551573,3551589,20
R,3552853,3553029,180
R,3557417,3557953,540
R,3558313,3558617,308
R,3558769,3559017,252
R,3559449,3559477,32
R,3560205,3560341,140
R,3560805,3561029,228
R,3569337,3569365,32
R,3569657,3569773,120
R,3570409,3571061,656
R,3572865,3572993,132
R,3578753,3578841,92
R,3589145,3589217,76
R,3592237,3592357,124
R,3604041,3604089,52
R,3604537,3604669,136
R,3605293,3605449,160
R,3605777,3605909,136
R,3608749,3608949,204
R,3613121,3613121,4
R,3629833,3629881,52
R,3634549,3634829,284
R,3638985,3638989,8
R,3641505,3641641,140
R,3668869,3668941,76
R,3680993,3680993,4
R,3688353,3688397,48
R,3698629,3698797,172
R,3705565,3705609,48
R,3706913,3707017,108
R,3707305,3707909,608
R,3708125,3708813,692
R,3709481,3710273,796
R,3710605,3710929,328
R,3711181,3711537,360
R,3711613,3711849,240
R,3712353,3712561,212
R,3715301,3715617,320
R,3720217,3720237,24
R,3720505,3720545,44
R,3720917,3721629,716
R,3722221,3722605,388
R,3723281,3723521,244
R,3725133,3725373,244
R,3726481,3726581,104
R,3727325,3727469,148
R,3728225,3728505,284
R,3738873,3738873,4
R,3750009,3750089,84
R,3757813,3757909,100
R,3760289,3760353,68
R,3773821,3773893,76
R,3774521,3774733,216
R,3774981,3775073,96
R,3775281,3775453,176
R,3775529,3775709,184
R,3775809,3776381,576
R,3776469,3777309,844
R,3777505,3777513,12
R,3780777,3780897,124
R,3781649,3781665,20
R,3786729,3787409,684
R,3790929,3791281,356
R,3791745,3791953,212
R,3795109,3811025,15920
R,3812217,3812417,204
R,3812545,3813553,1012
R,3814373,3814505,136
R,3819469,3819513,48
R,3820993,3821025,36
R,3821329,3821441,116
R,3821681,3821741,64
R,3824941,3824989,52
R,3837741,3837853,116
R,3847701,3847817,120
R,3848317,3848561,248
R,3848889,3849005,120
R,3852237,3852281,48
R,3855333,3855421,92
R,3855913,3855993,84
R,3859717,3859733,20
R,3865997,3866181,188
R,3869577,3869629,56
R,3873493,3873865,376
R,3874257,3874421,168
R,3875001,3875189,192
R,3877301,3877489,192
R,3878733,3879113,384
R,3881485,3881597,116
R,3883009,3883117,112
R,3886965,3887145,184
R,3889817,3890017,204
R,3892293,3892337,48
R,3892981,3893073,96
R,3893721,3893785,68
R,3896041,3896041,4
R,3907113,3907117,8
R,3912845,3912953,112
R,3914229,3914481,256
R,3917977,3918161,188
R,3924385,3924505,124
R,3929709,3930021,316
R,3930821,3930989,172
R,3933541,3933821,284
R,3934413,3934781,372
R,3937433,3937541,112
R,3937937,3938477,544
R,3940721,3940809,92
R,3943409,3943717,312
R,3944413,3944637,228
R,3946913,3946993,84
R,3947385,3947957,576
R,3953917,3953977,64
R,3954801,3954865,68
R,3956861,3956865,8
R,3957713,3957861,152
R,3961065,3961309,248
R,3963353,3963397,48
R,3964589,3968261,3676
R,3968469,3985705,17240
R,3986189,3986353,168
R,3986509,3987405,900
R,3988085,3988085,4
R,3988345,3990217,1876
R,3990733,3990865,136
R,3991001,3991113,116
R,3991389,3991493,108
R,3991545,3991717,176
R,3991905,3991945,44
R,3992373,3993769,1400
R,3994409,3994433,28
R,3995641,3995805,168
R,3996561,3996877,320
R,3997353,3997377,28
R,3997621,3997701,84
R,3998321,3998429,112
R,3998573,3998941,372
R,3999157,4002621,3468
R,4003045,4003045,4
R,4003525,4003601,80
R,4003649,4003669,24
R,4003749,4003749,4
R,4004001,4004193,196
R,4004297,4004297,4
R,4004349,4004377,32
R,4004465,4004473,12
R,4005733,4005745,16
R,4006609,4006765,160
R,4006817,4007337,524
R,4008005,4008101,100
R,4008401,4008461,64
R,4008925,4008949,28
R,4009081,4009769,692
R,4009845,4009993,152
R,4010173,4010269,100
R,4010525,4010661,140
R,4011285,4011469,188
R,4011657,4012053,400
R,4012157,4012389,236
R,4012569,4012757,192
R,4012801,4012825,28
R,4013085,4013201,120
R,4017997,4020565,2572
R,4020745,4022465,1724
R,4022657,4022693,40
R,4022805,4023317,516
R,4023565,4023569,8
R,4023621,4025517,1900
R,4025669,4025745,80
R,4026333,4026401,72
R,4040217,4040305,92
R,4070989,4071145,160
R,4071625,4072957,1336
