eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,1585045,1585093,52,1827.3,1101.5,1206.6,1286.8,5.8,133
R,1585393,1585409,20,1052.4,1341.8,923.1,1405.7,1.3,94
R,1586605,1586637,36,846.5,1411.2,765.5,1836.5,5.0,190
R,1586681,1586721,44,747.6,1887.8,810.0,1468.2,4.9,169
R,1587117,1587129,16,842.1,1406.9,744.7,1437.4,0.9,74
R,1587589,1587597,12,752.7,1426.0,701.0,1421.7,0.4,53
R,1588385,1588397,16,600.8,1398.7,557.3,1337.9,0.8,69
R,1588425,1588449,28,433.2,1383.5,318.2,1711.9,3.9,185
R,1588481,1588509,32,323.2,1676.2,425.4,1359.4,3.7,142
R,1589101,1589553,456,498.4,1361.2,1466.8,1172.5,8.4,416
R,1589681,1589697,20,1483.2,1164.5,1640.3,1210.8,1.5,104
R,1590397,1590405,12,1821.5,1177.3,1868.1,1158.1,0.5,59
R,1592013,1592061,52,1917.2,1091.9,2824.0,1279.2,8.3,218
R,1592641,1592649,12,2953.4,1331.5,2902.7,1335.7,0.5,57
R,1593693,1593813,124,2901.7,1400.6,2829.8,1514.6,1.5,336
R,1594337,1594353,20,2867.7,1352.3,3012.3,1342.4,1.3,88
R,1595293,1595537,248,3097.8,1357.4,2986.5,1641.1,3.6,2719
R,1595985,1596001,20,3069.8,1348.9,3244.0,1305.1,1.6,115
R,1596385,1596793,412,3268.1,1288.4,2080.9,1459.2,10.7,1958
R,1597317,1597325,12,2038.5,1237.4,1986.5,1246.1,0.5,59
R,1599389,1599449,64,1839.2,1091.9,839.0,1262.5,8.8,182
R,1600857,1600869,16,662.1,1386.8,757.6,1369.4,0.8,72
R,1601421,1601477,60,783.9,1369.3,267.1,2621.1,14.6,428
R,1601505,1601593,92,186.2,2600.9,762.5,1274.1,15.5,316
R,1602017,1602261,248,759.0,1326.7,817.2,1351.4,0.6,313
R,1603065,1603433,372,860.6,1329.3,1050.2,1494.0,2.5,518
R,1603701,1603893,196,1042.7,1383.9,753.8,1453.3,2.5,660
R,1604137,1604505,372,770.9,1379.9,1736.9,1304.4,8.3,594
R,1604697,1604705,12,1770.9,1217.2,1839.1,1206.8,0.6,77
R,1606637,1606689,56,1893.5,1117.6,2771.1,1259.8,8.0,202
R,1607149,1607161,16,2871.4,1329.1,2931.9,1386.8,0.9,79
R,1607361,1607369,12,2990.1,1410.0,3048.3,1405.3,0.5,65
R,1607753,1607769,20,3067.3,1405.7,2944.5,1418.0,1.1,78
R,1608185,1608357,176,2868.7,1406.0,2963.5,1449.8,1.0,635
R,1609205,1609365,164,3055.4,1359.8,2967.7,1514.9,2.1,689
R,1609869,1609881,16,3056.6,1316.1,3131.5,1317.2,0.7,58
R,1610237,1610921,688,3161.9,1345.3,2783.4,1780.3,6.3,684
R,1611057,1611337,284,2864.3,1491.6,1716.6,1406.8,10.2,609
R,1611421,1611457,40,1710.9,1230.0,1732.2,1799.3,6.9,337
R,1611501,1611513,16,1737.6,1860.6,1715.8,1758.6,1.2,113
R,1611549,1611645,100,1704.5,1704.0,2307.9,1107.0,9.0,202
