subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV021,R,11,3,2,0,1,2,Response,3090.67,3270.0,2090.66,2491.4,431.2,862.0,219.2,3.09,8.9,436.2,1682.0,55.2
SV021,R,12,3,2,0,0,2,Response,950.311111111111,1248.0,2029.9111111111113,2749.0,673.4444444444445,979.0,228.44444444444446,4.25,12.5,283.7,594.0,65.2
SV021,R,13,3,2,1,0,2,Response,1055.2133333333334,1651.7,2311.3333333333335,2942.7,680.2666666666667,898.0,338.4,4.7125,17.4,338.9375,786.0,89.5
SV021,R,14,2,2,1,0,2,Response,826.1545454545455,1302.7,2338.609090909091,2869.5,649.8181818181819,926.0,217.0909090909091,4.075,13.7,272.3333333333333,590.0,58.333333333333336
SV021,R,15,3,2,1,0,2,Response,1005.4875,1228.5,2043.5124999999998,2636.9,764.75,971.0,153.0,3.8444444444444446,11.8,222.55555555555554,467.0,43.111111111111114
SV021,R,16,3,3,0,1,3,Response,2990.68,3270.0,1919.1200000000001,2741.8,568.8,928.0,440.0,6.266666666666666,10.4,408.6666666666667,1024.0,103.33333333333333
SV021,R,17,2,3,1,1,3,Response,2946.55,3270.0,2274.67,2910.2,574.4,955.0,101.2,2.8142857142857145,16.6,534.0,2232.0,115.23809523809524
SV021,R,18,3,3,0,0,3,Response,1118.6166666666666,1514.0,2201.9,2769.5,626.3333333333334,954.0,131.66666666666666,3.9692307692307693,11.0,268.7692307692308,489.0,90.76923076923077
SV021,R,19,3,2,0,1,2,Response,2879.5,2910.0,1904.7333333333333,2069.8,682.6666666666666,856.0,203.33333333333334,2.442857142857143,9.1,482.42857142857144,1443.0,141.14285714285714
SV021,R,20,2,3,0,0,3,Response,1137.0117647058823,1883.0,2120.241176470588,2643.3,645.2941176470588,876.0,125.41176470588235,2.5944444444444446,7.7,218.88888888888889,455.0,40.44444444444444
SV021,R,21,2,3,1,0,3,Response,1025.6466666666668,1395.9,2183.3733333333334,3077.4,748.6,881.0,161.33333333333334,3.94375,17.4,295.9375,649.0,50.5
SV021,R,22,3,0,0,0,3,Response,1103.5272727272727,1765.2,2511.0272727272727,3270.0,518.9090909090909,906.0,166.1818181818182,5.391666666666667,17.2,360.5833333333333,949.0,84.0
SV021,R,23,2,3,1,1,3,Response,2732.171428571429,3042.5,2120.9,2968.1,568.0,860.0,237.14285714285714,3.7375,6.6,239.875,472.0,69.5
SV021,R,24,3,2,1,0,2,Response,818.2333333333332,1250.7,2576.5499999999997,3270.0,449.8333333333333,852.0,240.66666666666666,6.1000000000000005,18.4,303.6666666666667,594.0,75.33333333333333
SV021,R,25,3,0,0,0,3,Response,961.9692307692308,1432.7,2131.646153846154,3270.0,585.1538461538462,891.0,208.0,5.057142857142857,16.0,263.64285714285717,710.0,95.42857142857143
SV021,R,26,3,2,0,0,3,Response,1082.1083333333333,1560.3,1968.9416666666666,3270.0,603.75,908.0,139.0,6.8076923076923075,31.4,543.7692307692307,3270.0,93.84615384615384
SV021,R,27,3,3,0,1,3,Response,3001.713333333333,3270.0,1671.7066666666665,2293.0,755.4666666666667,871.0,133.86666666666667,3.0125,8.0,301.0,620.0,114.0
SV021,R,28,2,0,1,1,2,Response,2901.75,3144.5,2017.29375,2320.9,671.1875,976.0,115.25,2.623529411764706,12.5,512.4705882352941,2054.0,68.47058823529412
SV021,R,29,2,2,1,1,2,Response,2799.85,2930.1,1739.5,2015.3,738.6666666666666,946.0,161.33333333333334,3.957142857142857,9.4,437.57142857142856,1823.0,144.57142857142858
SV021,R,30,2,0,1,0,3,Response,770.4000000000001,1357.8,2394.133333333333,3270.0,628.0,931.0,217.33333333333334,4.43,17.1,280.1,678.0,63.6
SV021,R,31,3,0,1,0,3,Response,973.8888888888889,1793.8,2461.9777777777776,3270.0,552.5555555555555,919.0,299.1111111111111,4.45,11.7,292.2,626.0,72.0
SV021,R,32,3,2,1,1,2,Response,2786.82,3248.3,1852.44,2444.7,812.2,951.0,76.8,6.3999999999999995,14.9,528.3333333333334,1265.0,293.3333333333333
SV021,R,33,3,3,1,1,3,Response,2875.2,2891.8,2634.4,2851.4,422.5,509.0,58.0,13.6,20.8,539.0,837.0,1058.6666666666667
SV021,R,34,3,3,1,1,3,Response,2110.5,2110.5,1257.7,1257.7,960.0,960.0,180.0,1.65,2.4,1278.0,2473.0,1190.0
